phase,url,block,parse_state,schema_types,visible_alignment,rich_result_eligibility,issues
after,https://docs.kujolang.ai/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/build/agent-credentials/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/build/agent-operations/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/build/agent-profiles/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/build/ai-and-agents/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/build/applications-and-publishing/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/build/editorial-publishing/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/build/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/build/knowledge-and-retrieval/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/build/owned-agent-projects/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/build/publishing-house-operator/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/build/web-operations/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/build/workflows-and-approvals/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/choose-a-path/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/collections/agents/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/collections/benchmarks/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/collections/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/collections/skills/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/collections/workflows/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/ecosystem/core-foundation/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/ecosystem/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/ecosystem/primitives/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/ecosystem/providers/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/ecosystem/showcases/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/ecosystem/tooling/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/install/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/learn/ai-runtime/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/learn/capabilities/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/learn/editor-support/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/learn/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/learn/language-basics/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/learn/packages/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/learn/runtime/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/quickstart/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/reference/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/release-boundaries/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/review/browser-architecture-and-privacy/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/review/context-and-task-contracts/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/review/evidence-and-run-history/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/review/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/review/quality-and-release-gates/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/review/tests-and-evaluation/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/security/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/showcases/ai-chat/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/showcases/cinch/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/showcases/cms/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/showcases/crud-api/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/showcases/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/showcases/intake/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/showcases/ssg/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/showcases/totalrecall/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/start-here/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/support/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/agents-sdk/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/ai-sdk/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/assetworks/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/bluepencil/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/casefile/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/changebucket/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/commerce/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/concord/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/contentgraph/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/dispatch/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/dossier/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/eval/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/fence/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/galleypack/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/howl/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/,1,valid JSON,Organization|WebSite,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/kennel/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/kujo/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/leash/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/lens/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/mcp/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/muzzle/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/packwrite/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/paperclip/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/patchbrief/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/presswire/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/rag/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/readersignal/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/redact/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/relay/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/runledger/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/scent/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/scout/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/searchbridge/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/shipcheck/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/site-kit/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/siteprobe/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/source/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/spec/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/storydesk/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/tribunal/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/versionseal/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/ward/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/watchdog/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
after,https://docs.kujolang.ai/tools/workcell/,1,valid JSON,BlogPosting|Organization|Person,manual review required,Not inferred from Schema.org validity,
