phase,source_url,source_variant,http_status,target_url,chain_length,final_status,canonical_target,query_preserved,verification,issues
after,http://docs.kujolang.ai/,apex HTTP,301,https://docs.kujolang.ai/,1,200,yes,n/a,live request with redirects followed,
after,https://docs.kujolang.ai/,apex HTTPS,200,https://docs.kujolang.ai/,0,200,yes,n/a,live request with redirects followed,
after,https://docs.kujolang.ai/tools/mcp/,nested canonical,200,https://docs.kujolang.ai/tools/mcp/,0,200,yes,n/a,live request with redirects followed,
after,https://docs.kujolang.ai/tools/mcp,nested no trailing slash,301,https://docs.kujolang.ai/tools/mcp/,1,200,yes,n/a,live request with redirects followed,
after,https://docs.kujolang.ai/tools/mcp.html,flat HTML alias,404,https://docs.kujolang.ai/tools/mcp.html,0,404,n/a,n/a,live request with redirects followed,
after,https://docs.kujolang.ai/tools/mcp/?audit=1,query string,200,https://docs.kujolang.ai/tools/mcp/?audit=1,0,200,yes,yes,live request with redirects followed,
after,https://docs.kujolang.ai/robots.txt,robots,200,https://docs.kujolang.ai/robots.txt,0,200,yes,n/a,live request with redirects followed,
after,https://docs.kujolang.ai/sitemap.xml,sitemap,200,https://docs.kujolang.ai/sitemap.xml,0,200,yes,n/a,live request with redirects followed,
after,https://docs.kujolang.ai/llms.txt,llms experimental,200,https://docs.kujolang.ai/llms.txt,0,200,yes,n/a,live request with redirects followed,
after,https://docs.kujolang.ai/seo-audit-missing-route-20260810/,404,404,https://docs.kujolang.ai/seo-audit-missing-route-20260810/,0,404,n/a,n/a,live request with redirects followed,
