phase,source_url,image_url,source_file,alt,width,height,loading,format,bytes,exists,srcset,sizes,responsive_candidates,responsive_missing,issues
baseline,https://docs.kujolang.ai/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/agent-credentials/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/agent-credentials/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/agent-operations/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/agent-operations/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/agent-profiles/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/agent-profiles/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/applications-and-publishing/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/applications-and-publishing/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/editorial-publishing/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/editorial-publishing/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/knowledge-and-retrieval/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/knowledge-and-retrieval/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/owned-agent-projects/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/owned-agent-projects/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/publishing-house-operator/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/publishing-house-operator/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/web-operations/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/web-operations/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/workflows-and-approvals/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/build/workflows-and-approvals/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/choose-a-path/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/choose-a-path/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/collections/agents/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/collections/agents/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/collections/benchmarks/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/collections/benchmarks/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/collections/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/collections/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/collections/skills/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/collections/skills/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/collections/workflows/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/collections/workflows/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/core-foundation/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/core-foundation/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/primitives/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/primitives/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/providers/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
